"Plant.Code","Plant.Name","State","Latitude","Longitude","DC","HB","ON","PN","RC","RT","NA"
320,"Big Creek 4","CA","37.139000000000003","-119.4898",0,0,0,0,0,0,133078
321,"Big Creek 8","CA","37.209600000000002","-119.3289",0,0,0,0,0,0,105736
322,"Big Creek 2A","CA","37.200062000000003","-119.30681",0,0,0,0,0,0,207249
323,"Bishop Creek 2","CA","37.273581","-118.573339",0,0,0,0,0,0,15118
324,"Bishop Creek 3","CA","37.301962000000003","-118.53195700000001",0,0,0,0,0,0,15001
325,"Bishop Creek 4","CA","37.323034999999997","-118.50171400000001",0,0,0,0,0,0,25145
326,"Bishop Creek 5","CA","37.334400000000002","-118.47969999999999",0,0,0,0,0,0,6091
327,"Bishop Creek 6","CA","37.349899999999998","-118.4628",0,0,0,0,0,0,6753
328,"Borel","CA","35.588068999999997","-118.524804",0,0,0,0,0,0,-209
329,"Coolwater","CA","34.860599999999998","-116.8539",0,0,0,0,0,0,248282
330,"El Segundo Power","CA","33.909804000000001","-118.424172",0,0,180713,0,0,0,0
331,"Etiwanda Generating Station","CA","34.091180000000001","-117.52663",0,0,0,0,212625,0,0
332,"Fontana","CA","34.155161999999997","-117.397119",0,0,0,0,0,0,1916
335,"AES Huntington Beach LLC","CA","33.643900000000002","-117.97920000000001",0,0,912234,0,0,0,0
336,"Kaweah 2","CA","36.461326","-118.87988",0,0,0,0,0,0,4435
337,"Kaweah 1","CA","36.465066","-118.86202299999999",0,0,0,0,0,0,3559
338,"Kaweah 3","CA","36.486058999999997","-118.835645",0,0,0,0,0,0,6761
339,"Kern River 3","CA","35.776184999999998","-118.436233",0,0,0,0,0,0,368
340,"Kern River 1","CA","35.460303000000003","-118.77959",0,0,0,0,0,0,101689
341,"Long Beach Generation LLC","CA","33.764099999999999","-118.2248",0,0,0,0,0,0,20383
342,"Lundy","CA","38.042729000000001","-119.172015",0,0,0,0,0,0,4324
344,"Mammoth Pool","CA","37.220301999999997","-119.33798299999999",0,0,0,0,0,0,217263
345,"Mandalay","CA","34.206699999999998","-119.25109999999999",0,0,145751,0,0,0,954
350,"Ormond Beach","CA","34.129199999999997","-119.16889999999999",0,0,228795,0,0,0,0
353,"Poole","CA","37.944237000000001","-119.2161",0,0,0,0,0,0,21226
354,"Portal","CA","37.257044999999998","-119.158936",0,0,0,0,0,0,22880
356,"AES Redondo Beach LLC","CA","33.8504","-118.395",0,0,249851,0,0,0,0
