"Plant.Code","Plant.Name","State","Latitude","Longitude","total.consumption"
3944,"FirstEnergy Harrison Power Station","WV","39.384166999999998","-80.332499999999996",18905145247.596
3947,"Kammer","WV","39.8461","-80.818600000000004",1495795174.539
3948,"Mitchell (WV)","WV","39.829700000000003","-80.815299999999993",8285175140.52
3954,"Mt Storm","WV","39.200800000000001","-79.263599999999997",59012261039.388
3982,"Bay Front","WI","46.587221999999997","-90.901700000000005",127619278.119406
4005,"French Island","WI","43.8292","-91.259699999999995",932742.061100139
4042,"Valley (WI)","WI","43.030299999999997","-87.923299999999998",508665739.8
4054,"Nelson Dewey Generating Station","WI","42.722499999999997","-91.008499999999998",127552.753953187
4072,"Pulliam","WI","44.54","-88.008600000000001",11479691677.632
4078,"Weston","WI","44.860599999999998","-89.655299999999997",3686418668.246
4125,"Manitowoc","WI","44.082000000000001","-87.655799999999999",67336060.7959937
4146,"E J Stoneman Station","WI","42.708260000000003","-90.984740000000002",3515224.7926915
4150,"Neil Simpson","WY","44.287199999999999","-105.3878",12384410
4158,"Dave Johnston","WY","42.837800000000001","-105.7769",1907507381.328
4162,"Naughton","WY","41.758099999999999","-110.59829999999999",5473146484.611
4195,"Powerlane Plant","TX","33.170699999999997","-96.126400000000004",41750388.456
4259,"Endicott Station","MI","42.031700000000001","-84.754999999999995",114833975.693791
4266,"Spencer","TX","33.197499999999998","-97.106099999999998",7628614
4939,"Barney M Davis","TX","27.606400000000001","-97.311700000000002",195702521
4940,"Riverside (OK)","OK","35.997799999999998","-95.956699999999998",172192498
4941,"Navajo","AZ","36.904699999999998","-111.3886",19095972394.176
6002,"James H Miller Jr","AL","33.631900000000002","-87.059700000000007",27170185760.32
6004,"FirstEnergy Pleasants Power Station","WV","39.366667","-81.294443999999999",6312076412.886
6009,"White Bluff","AR","34.422800000000002","-92.140600000000006",7747868587.168
6016,"Duck Creek","IL","40.466299999999997","-89.984099999999998",4469284038.946
6017,"Newton","IL","38.936100000000003","-88.278099999999995",26867142763.97
