"Plant.Id","total.gen","Plant.Name","State","Latitude","Longitude"
612,8843733.997,"Fort Myers","FL","26.6967","-81.783100000000005"
613,4559518.077,"Lauderdale","FL","26.0686","-80.198400000000007"
617,8545,"Port Everglades","FL","26.085599999999999","-80.125299999999996"
619,4826932.987,"Riviera","FL","26.7653","-80.052499999999995"
620,9206252,"Sanford","FL","28.841899999999999","-81.325599999999994"
621,18371295.983,"Turkey Point","FL","25.435600000000001","-80.330799999999996"
622,63313,"South Fork Tolt","WA","47.699167000000003","-121.783333"
624,2500,"Avon Park","FL","27.579443999999999","-81.492778000000001"
625,85688,"Upper Mechanicville","NY","42.912599999999998","-73.680499999999995"
626,5795,"Oak Flat","CA","40.075310000000002","-121.16143"
627,6281,"Bayboro","FL","27.758056","-82.635278"
628,11760274.962,"Crystal River","FL","28.965599999999998","-82.697699999999998"
629,8843,"G E Turner","FL","28.869577","-81.273956999999996"
630,6034,"Higgins","FL","28.003261999999999","-82.661507"
632,7369,"Newcastle","CA","38.835182000000003","-121.09298200000001"
634,6807183.012,"P L Bartow","FL","27.859535000000001","-82.601759000000001"
637,84,"Rio Pinar","FL","28.541515","-81.254067000000006"
638,524963,"Suwannee River","FL","30.376389","-83.180555999999996"
641,3469284.032,"Crist","FL","30.566099999999999","-87.224400000000003"
642,31637,"Scholz","FL","30.6692","-84.886899999999997"
643,4506286.998,"Lansing Smith","FL","30.268599999999999","-85.700299999999999"
645,10127149.732,"Big Bend","FL","27.7944","-82.403599999999997"
649,18060190,"Vogtle","GA","33.142699999999998","-81.762500000000003"
663,887465,"Deerhaven Generating Station","FL","29.7592","-82.387799999999999"
664,242833,"John R Kelly","FL","29.646100000000001","-82.320800000000006"
665,14227,"G W Ivey","FL","25.4756","-80.47"
666,37302,"J D Kennedy","FL","30.364818","-81.625967000000003"
667,3709207.914,"Northside Generating Station","FL","30.417200000000001","-81.552499999999995"
673,13649,"Tom G Smith","FL","26.612767000000002","-80.067700000000002"
675,5040,"Larsen Memorial","FL","28.079699999999999","-81.922799999999995"
676,2201581,"C D McIntosh Jr","FL","28.080100000000002","-81.922899999999998"
678,804,"W K Sanders","VT","44.625281999999999","-72.530859000000007"
682,140573,"Kerckhoff 2","CA","37.071846000000001","-119.558008"
